1,South Korea,Jeon Hun-young Lim Si-hyeon Nam Su-hyeon,2046 (OR),123,42,Q
2,China,An Qixuan Li Jiaman Yang Xiaolei,1996,96,31,Q
3,Mexico,Ángela Ruiz Alejandra Valencia Ana Paula Vázquez,1986,88,36,Q
4,India,Ankita Bhakat Bhajan Kaur Deepika Kumari,1983,83,21,Q
5,France,Lisa Barbelin Amélie Cordeau Caroline Lopez,1972,77,28,q
6,Germany,Katharina Bauer Michelle Kroppen Charline Schwarz,1965,77,25,q
7,Indonesia,Diananda Choirunisa Syifa Nurafifah Kamal Rezza Octavia,1960,75,28,q
8,United States,Catalina GNoriega Casey Kaufhold Jennifer Mucino-Fernandez,1945,71,21,q
9,Chinese Taipei,Chiu Yi-ching Lei Chien-ying Li Tsai-chi,1926,68,21,q
10,Malaysia,Syaqiera Mashayikh Nurul Fazil Ariana Zairi,1918,57,18,q
11,Great Britain,Megan Havers Penny Healey Bryony Pitman,1912,60,25,q
12,Netherlands,Quinty Roeffen Gabriela Schloesser Laura van der Winkel,1897,57,25,q
