,,,,,,,,,,,,,,,,,,Time,Record,Rank,Heat,Lane,Athlete,Nation,Notes,

,,,,,,,,,,,,,,,,,,15:47.43,,1.0,3.0,4.0,Katie Ledecky,United States,Q,,
,,,,,,,,,,,,,,,,,,15:51.19,,2.0,2.0,2.0,Simona Quadarella,Italy,Q,,
,,,,,,,,,,,,,,,,,,15:52.46,,3.0,2.0,5.0,Anastasiya Kirpichnikova,France,Q,,
,,,,,,,,,,,,,,,,,,15:53.27,,4.0,2.0,3.0,Isabel Gose,Germany,Q,,
,,,,,,,,,,,,,,,,,,16:04.02,,5.0,2.0,6.0,Moesha Johnson,Australia,Q,,
,,,,,,,,,,,,,,,,,,16:05.26,,6.0,3.0,5.0,Li Bingjie,China,Q,,
,,,,,,,,,,,,,,,,,,16:05.40,,7.0,3.0,2.0,Beatriz Dizotti,Brazil,Q,,
,,,,,,,,,,,,,,,,,,16:08.69,,8.0,3.0,1.0,Leonie Märtens,Germany,Q,,
,,,,,,,,,,,,,,,,,,16:10.13,,9.0,1.0,5.0,Gan Ching Hwee,Singapore,NR,,
,,,,,,,,,,,,,,,,,,16:12.11,,10.0,3.0,6.0,Katie Grimes,United States,,,
,,,,,,,,,,,,,,,,,,16:12.45,,11.0,2.0,1.0,Ginevra Taddeucci,Italy,,,
,,,,,,,,,,,,,,,,,,16:13.74,,12.0,2.0,7.0,Eve Thomas,New Zealand,,,
,,,,,,,,,,,,,,,,,,16:27.11,,13.0,2.0,2.0,Gao Weizhong,China,,,
,,,,,,,,,,,,,,,,,,16:27.18,,14.0,1.0,4.0,Kristel Köbrich,Chile,,,
,,,,,,,,,,,,,,,,,,16:31.25,,15.0,3.0,7.0,Vivien Jackl,Hungary,,,
,,,,,,,,,,,,,,,,,,17:00.54,,16.0,1.0,3.0,Sasha Gatt,Malta,,,
,,,,,,,,,,,,,,,,,,DNS,,,3.0,3.0,Lani Pallister,Australia,,,

,,,,,,,,,,,,,,,,Katie Ledecky,,15:30.02,,,,4.0,,United States,OR,,
,,,,,,,,,,,,,,,,Anastasiya Kirpichnikova,,15:40.35,,,,3.0,,France,NR,,
,,,,,,,,,,,,,,,,Isabel Gose,,15:41.16,,,,6.0,,Germany,NR,,
,,,,,,,,,,,,,,,,Simona Quadarella,,15:44.05,,4.0,,5.0,,Italy,,,
,,,,,,,,,,,,,,,,Li Bingjie,,16:01.03,,5.0,,7.0,,China,,,
,,,,,,,,,,,,,,,,Moesha Johnson,,16:02.70,,6.0,,2.0,,Australia,,,
,,,,,,,,,,,,,,,,Beatriz Dizotti,,16:02.86,,7.0,,1.0,,Brazil,,,
,,,,,,,,,,,,,,,,Leonie Märtens,,16:12.57,,8.0,,8.0,,Germany,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2020: Katie Ledecky (USA) 2024: Katie Ledecky (USA),2020: Katie Ledecky (USA) 2024: Katie Ledecky (USA)
