,Venue,Events,Capacity,Status
0,Gardens of the Palace of Versailles,Equestrian,"80,000 (22,000 + 58,000)",Temporary
1,Gardens of the Palace of Versailles,Modern pentathlon (excluding fencing rounds),"80,000 (22,000 + 58,000)",Temporary
2,Le Golf National,Golf,35000,Existing
3,Élancourt Hill,Cycling (mountain biking),25000,Existing
4,Vélodrome de Saint-Quentin-en-Yvelines,Cycling (track),5000,Existing
5,Vélodrome de Saint-Quentin-en-Yvelines,Cycling (BMX racing),5000,ExistingGardens of the Palace of Versailles,Equestrian,"80,000 (22,000 + 58,000)",Temporary
Gardens of the Palace of Versailles,Modern pentathlon (excluding fencing rounds),"80,000 (22,000 + 58,000)",Temporary
Le Golf National,Golf,35000,Existing
Élancourt Hill,Cycling (mountain biking),25000,Existing
Vélodrome de Saint-Quentin-en-Yvelines,Cycling (track),5000,Existing
Vélodrome de Saint-Quentin-en-Yvelines,Cycling (BMX racing),5000,Existing
